   ,methodName, Error, time
190, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
191, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
192, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
193, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
194, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
195, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
196, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
197, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
198, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
199, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
200, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
201, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
202, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
203, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
204, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
205, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
206, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
207, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
208, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
209, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
210, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
211, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
212, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
213, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
214, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
215, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
216, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
217, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
218, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
219, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
220, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
221, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
222, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
223, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
224, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
225, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
226, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
227, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
228, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
229, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
230, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
231, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
232, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
233, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
234, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
235, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
236, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
237, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
238, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
239, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
240, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
241, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
242, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
243, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
244, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
245, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
246, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
247, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
248, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
249, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
250, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
251, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
252, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
253, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
254, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
255, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
256, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
257, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
258, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
259, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
260, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
261, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
262, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
263, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
264, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:31
